N9778623	910	25	130
N9778682	910	17	135
N9778669	910	9	111
N9778657	910	18	118
N9778736	910	15	126
N9778728	910	6	125
N9778718	909	5	113
N9778728	909	9	108
N9778745	909	6	96
N9778669	909	5	111
N9778657	909	13	120
N9778769	909	6	87
N9778736	909	16	132
N9778623	909	26	130
N9778682	909	15	127
N9778657	906	12	162
N9778669	906	12	166
N9772866	906	0	5
N9776259	906	0	5
N9756397	906	0	9
N9693002	906	0	15
N9778682	906	6	152
N9020783	907	0	3
N9778444	907	5	121
N9525589	907	0	6
N7213923	907	0	23
N9777397	907	17	132
N9778718	907	4	129
N9430567	907	0	4
N9778628	907	24	135
N9777492	907	31	160
N9774568	907	0	2
N9565836	907	0	4
N9335113	907	0	3
N9771223	907	0	2
N9131971	907	0	7
N9778623	907	31	172
N9770218	907	0	7
N9775990	907	0	2
N9778500	907	13	79
N9776420	907	0	60
N9777034	907	12	99
N9772706	907	0	1
N9759955	907	0	45
N9778386	907	6	64
N9775484	907	0	1
N9775776	907	0	4
N9775562	907	0	1
N9778375	907	9	58
N9778021	907	10	109
N9778627	907	9	132
N9778226	907	12	127
N9486486	911	0	7
N9777397	911	7	101
N9776259	911	0	4
N9514481	911	0	4
N9777941	911	1	21
N9778623	911	21	141
N9777492	911	29	91
N9778736	911	13	134
N9778627	911	5	41
N9778661	911	17	86
N9510890	911	0	14
N9778628	911	9	45
N9778745	911	3	109
N9778682	911	19	129
N9778444	911	3	68
N9778701	911	10	52
N9778226	911	3	41
N9778780	911	9	86
N9778769	911	5	110
N9115412	911	0	6
N9775983	911	0	1
N9759955	911	0	25
N9778500	911	4	26
N9695098	911	0	38
N9778375	911	3	21
N9778155	911	4	48
N9778448	911	5	40
N9777856	911	10	32
N9778386	911	2	20
N9778021	911	9	44
N9778351	911	0	33
N9777034	911	3	39
N9778158	911	5	29
N9776420	911	1	35
N9778369	911	7	30
N9775716	911	0	6
N9778035	911	0	1
N9778718	911	3	117
N9772300	911	0	4
N9769433	911	0	5
N9773282	911	0	3
N9778328	911	3	20
N9769622	911	0	5
N9778413	911	3	20
N9778422	911	1	20
N9777307	911	6	23
N9777296	911	0	4
N9777345	911	0	2
N9302120	911	0	8
N9778657	911	15	120
N9770051	911	0	2
N9761920	911	0	2
N9569756	911	0	2
N9778669	911	7	105
N9440568	911	0	5
N9282945	911	0	7
N9778728	911	2	112
N9778701	907	5	139
N9778661	907	15	142
N9778669	907	25	169
N9492468	908	0	3
N9777034	908	13	85
N9778448	908	2	73
N9778351	908	2	67
N9778021	908	16	95
N9400164	908	0	4
N9778226	908	9	110
N9531720	908	0	3
N9459174	908	0	3
N9777334	910	0	3
N9777464	910	0	16
N9776922	910	1	3
N9761586	910	2	14
N9749014	910	2	18
N9776968	910	0	3
N9627810	910	0	2
N9778139	910	3	15
N9778277	910	0	2
N9769622	910	0	4
N9706219	910	0	3
N9777582	910	2	14
N9769433	910	0	4
N9778310	910	2	14
N9760046	910	0	17
N9720184	910	0	2
N9778102	910	2	4
N9531720	910	0	3
N9400164	910	0	3
N9777621	910	0	1
N9459174	910	0	3
N9492468	910	0	3
N9778168	910	1	9
N9778257	910	3	11
N9636715	910	0	2
N9778155	910	4	51
N9777811	910	1	15
N9777307	908	9	46
N9776968	908	0	3
N9759955	908	0	40
N9778375	908	7	42
N9777334	908	1	2
N9778386	908	3	54
N9776420	910	1	42
N9747633	910	1	2
N9768242	910	0	4
N9754265	910	0	4
N9752741	910	0	1
N9531720	909	0	2
N9778302	909	1	24
N9492468	909	0	2
N9776420	909	2	39
N9459174	909	0	2
N9400164	909	0	2
N9778413	909	6	25
N9778158	909	1	33
N9777334	909	0	2
N9776968	909	0	2
N9778422	909	3	30
N9695098	908	0	70
N9777856	908	15	60
N9778500	908	8	57
N9778369	908	10	70
N9743870	695	13	123
N9776386	695	20	113
N9776394	695	20	100
N9776438	695	10	105
N9776442	695	19	114
N9220931	695	0	7
N9769605	695	18	183
N9776223	695	29	136
N9776234	695	13	87
N9695098	695	0	55
N9776047	695	14	93
N9775983	695	13	89
N9776322	695	20	78
N9776148	695	15	181
N9776489	695	28	174
N9776449	695	7	157
N9776508	695	6	162
N9776040	695	28	160
N9775983	691	15	115
N9776377	691	5	46
N9776070	691	3	31
N9776276	691	0	1
N9776278	691	2	18
N9776442	691	31	138
N9776470	691	0	1
N9776047	691	12	114
N9776223	691	24	134
N9776047	694	20	112
N9743870	694	9	122
N9776040	694	17	155
N9775983	694	6	73
N9773612	694	0	7
N9776386	694	20	118
N9776234	694	10	74
N9776394	694	13	109
N9776438	694	11	152
N9776315	694	5	37
N9776442	694	16	117
N9776148	694	2	133
N9776223	694	24	131
N9776322	694	22	72
N9776449	694	4	126
N9776489	694	15	141
N9769605	694	9	138
N9695098	694	0	40
N9097165	694	0	1
N9773392	694	9	67
N9772389	694	0	4
N7306652	693	0	50
N9776386	693	15	145
N9773392	693	12	80
N9776234	693	20	92
N9776315	693	7	54
N9775983	693	16	104
N9776442	693	24	154
N9776047	693	19	135
N9776223	693	35	161
N9776394	693	28	139
N9776322	693	22	80
N9743870	693	7	142
N9772711	693	0	30
N9769581	693	0	4
N9769624	693	2	20
N9776070	693	4	33
N9776259	693	10	35
N9767490	693	1	39
N9776377	693	5	35
N9538375	693	1	34
N9776152	693	3	23
N9769580	693	0	8
N9776238	693	0	32
N9776303	693	3	22
N9774574	693	3	36
N9776191	693	2	26
N9775939	693	3	15
N9775717	693	1	17
N9769605	691	12	134
N9776040	691	5	127
N9776394	691	18	114
N9776040	693	22	169
N9772678	693	0	2
N9695098	693	0	41
N9776190	693	9	42
N9776438	693	16	187
N9769605	693	10	176
N9775573	694	0	15
N8315213	668	0	23
N9776087	668	11	52
N9775988	668	0	5
N9772957	668	0	1
N9772434	668	0	1
N9775927	668	2	45
N9775990	668	4	33
N9775785	668	5	52
N9760091	668	0	1
N9695098	668	0	42
